ht,http://ht.journals.yorku.ca/index.php/ht/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22140%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
hssh,http://hssh.journals.yorku.ca/index.php/hssh/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22102%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
ijfrp,http://ijfrp.journals.yorku.ca/index.php/ijfrp/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22146%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
jcacs,http://jcacs.journals.yorku.ca/index.php/jcacs/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22117%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
jid,http://jid.journals.yorku.ca/index.php/jid/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A2%3A%2291%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
jarm,http://jarm.journals.yorku.ca/index.php/jarm/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A2%3A%2296%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
justlabour,http://justlabour.journals.yorku.ca/index.php/justlabour/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A1%3A%221%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
jppal,http://jppal.journals.yorku.ca/index.php/jppal/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22120%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
lh,http://lh.journals.yorku.ca/index.php/lh/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22103%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
litte,http://litte.journals.yorku.ca/index.php/litte/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22136%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
ngn,http://ngn.journals.yorku.ca/index.php/ngn/manager/generateReport?metricType=ojs%3A%3Acounter&columns[]=month&filters=a%3A3%3A%7Bs%3A10%3A%22assoc_type%22%3Ba%3A1%3A%7Bi%3A0%3Bs%3A3%3A%22260%22%3B%7Ds%3A10%3A%22context_id%22%3Bs%3A3%3A%22141%22%3Bs%3A5%3A%22month%22%3Bs%3A6%3A%22
